time_less_than,mem_less_than,y_memAvg(MB),y_time(sec),y_sol(keuro),y_nTraces,y_PV_mean,y_PV_std,y_Load_mean,y_Load_std,embedding_time,solve_time
no,no,88.35556818181819,59.470681818181816,296.19,90.00000000000004,265.31458333333336,274.0186280845271,310.93958333333336,166.5787792101975,1178.7819199562073,6.734156847000122
no,no,84.71682926829268,16.681951219512197,290.42999999999995,19.0,262.66770833333334,270.722787757911,310.02500029479165,159.83073876147768,1178.7819199562073,6.968052864074707
no,no,85.12773333333334,19.063200000000016,295.16,23.00000000000001,263.81875,271.12750010853597,311.83958333333334,162.92226832601204,1178.7819199562073,7.07162880897522
no,no,88.35556818181819,59.470681818181816,341.44,90.00000000000004,273.4322916666667,282.4094580181082,320.453125,171.67819396155423,1178.7819199562073,6.32323694229126
no,no,88.94467532467533,65.04909090909094,296.58999999999986,100.0,270.70520833333336,279.0127044485727,319.5135416666667,164.72705683682707,1178.7819199562073,6.945994138717651
no,no,88.94467532467533,65.04909090909094,300.26999999999987,100.0,271.88958333333335,279.4281923556743,321.3843750000001,167.9097663975884,1178.7819199562073,6.618385553359985
no,no,no_sol,no_sol,no_sol,no_sol,295.090625,304.77359222261384,345.84166666666664,185.27619791513663,1178.7819199562073,4.454921007156372
no,no,no_sol,no_sol,no_sol,no_sol,292.15208333333334,301.1131694712024,344.81875,177.77185244981138,1178.7819199562073,4.308608055114746
no,no,no_sol,no_sol,no_sol,no_sol,293.4239583333333,301.55676246520864,346.8447916666667,181.2081054281879,1178.7819199562073,4.432133913040161
no,no,88.5998795180723,61.48795180722894,326.45999999999987,94.0,270.7270833333334,279.61320288002565,317.28541666666666,169.9782939446281,1178.7819199562073,7.037807941436768
no,no,88.88822784810127,64.42848101265821,293.6,99.0,268.02708333333334,276.25142249979405,316.3489583333333,163.09529358807873,1178.7819199562073,7.219660758972168
no,no,85.12773333333334,19.063200000000005,291.72,22.999999999999886,269.1979166666667,276.6617632519169,318.20625,166.24866027812325,1178.7819199562073,7.495234251022339
no,no,88.35556818181819,59.470681818181816,296.19,90.00000000000001,265.5833333333333,274.3005588715091,311.2572916666667,166.7453052467493,1178.7819199562073,7.910799980163574
no,no,84.71682926829268,16.681951219512197,290.42999999999995,19.0,262.9375,271.0063053732945,310.34270833333335,159.99631033818122,1178.7819199562073,8.065235614776611
no,no,85.12773333333334,19.063200000000016,295.16,23.00000000000001,264.08125,271.40611494911246,312.16041666666666,163.08534414479553,1178.7819199562073,8.575482130050661
no,no,88.53790123456791,60.96975308641974,369.94999999999993,93.0,275.33229166666666,284.3675363470338,322.684375,172.8620923887769,1178.7819199562073,7.064972400665282
no,no,88.94467532467533,65.04909090909094,300.26999999999987,100.0,272.58020833333336,280.9469636410461,321.73125,165.86233832138478,1178.7819199562073,7.5610594749450675
no,no,84.71682926829268,16.681951219512197,310.31,19.0,273.778125,281.3682189332176,323.6166666666666,169.0708718917077,1178.7819199562073,7.008883953094482
no,no,88.59987951807285,61.48795180723423,306.45999999999987,94.00000000000885,267.4791666666667,276.2596306453506,313.48229166666664,167.93730228545098,1178.7819199562073,7.296630382537843
no,no,84.905,17.857435897435902,311.33,21.0,264.81458333333336,272.93997736802817,312.5572916666667,161.1360758701527,1178.7819199562073,7.764538288116455
no,no,88.88822784810127,64.42848101265821,299.67,99.0,265.96875,273.34187968568625,314.38958333333335,164.25286367313782,1178.7819199562073,7.746159076690674
no,no,88.5998795180723,61.48795180722894,369.94999999999993,94.0,276.13958333333335,285.20777969723474,323.63125,173.37781439226154,1178.7819199562073,6.824155569076537
no,no,88.53790123456791,60.96975308641974,311.16,93.0,273.38645833333334,281.78005925861737,322.67291666666665,166.35985435643136,1178.7819199562073,7.5603082180023184
no,no,84.37950617283965,14.25703703703779,315.5299999999998,14.999999999993689,274.57708333333335,282.19602874862187,324.5729166666667,169.57505742244757,1178.7819199562073,8.12535834312439
no,no,no_sol,no_sol,no_sol,no_sol,249.06770833333331,257.24515969482286,291.90416666666664,156.3760224564673,1178.7819199562073,4.716346502304077
no,no,no_sol,no_sol,no_sol,no_sol,246.58541666666667,254.15219725719413,291.04375,150.04309506806425,1178.7819199562073,4.5048604011535645
no,no,no_sol,no_sol,no_sol,no_sol,247.6604166666667,254.5271070531121,292.75,152.9459034266691,1178.7819199562073,4.5657947063446045
no,no,88.35556818181819,59.470681818181816,312.67,90.00000000000001,268.021875,276.81694997293374,314.1177083333333,168.2783990363833,1178.7819199562073,7.161076784133911
no,no,85.12773333333334,19.063200000000005,310.64857142857136,23.0,265.3489583333333,273.4901426448766,313.184375,161.46353582680118,1178.7819199562073,7.6567039489746085
no,no,84.905,17.857435897435902,307.70999999999987,21.0,266.50625,273.89533615830493,315.028125,164.5875588295919,1178.7819199562073,8.756370306015015
no,83,82.84299999999999,5.748875,369.18999999999915,1,265.31458333333336,274.0186280845271,310.93958333333336,166.5787792101975,1178.7819199562073,7.367285490036012
no,83,82.93710526315789,6.3986842105263255,372.1966666666665,2.0,262.66770833333334,270.722787757911,310.02500029479165,159.83073876147768,1178.7819199562073,7.782799959182738
no,83,82.84299999999999,5.748875,350.51999999999833,1,263.81875,271.12750010853597,311.83958333333334,162.92226832601204,1178.7819199562073,7.12543797492981
no,83,82.84299999999999,5.748875,432.6699999999994,1,273.4322916666667,282.4094580181082,320.453125,171.67819396155423,1178.7819199562073,6.610440492630005
no,83,82.93710526315789,6.3986842105263255,384.6599999999999,2.0,270.70520833333336,279.0127044485727,319.5135416666667,164.72705683682707,1178.7819199562073,7.167671203613281
no,83,82.93710526315789,6.3986842105263255,398.5899999999999,2.0,271.88958333333335,279.4281923556743,321.3843750000001,167.9097663975884,1178.7819199562073,6.835240840911865
no,83,no_sol,no_sol,no_sol,no_sol,295.090625,304.77359222261384,345.84166666666664,185.27619791513663,1178.7819199562073,4.305654764175415
no,83,no_sol,no_sol,no_sol,no_sol,292.15208333333334,301.1131694712024,344.81875,177.77185244981138,1178.7819199562073,4.369135618209839
no,83,no_sol,no_sol,no_sol,no_sol,293.4239583333333,301.55676246520864,346.8447916666667,181.2081054281879,1178.7819199562073,4.325095653533936
no,83,82.84299999999999,5.748875,407.76999999999947,1,270.7270833333334,279.61320288002565,317.28541666666666,169.9782939446281,1178.7819199562073,7.349056959152223
no,83,82.93710526315789,6.3986842105263255,377.28999999999985,2.0,268.02708333333334,276.25142249979405,316.3489583333333,163.09529358807873,1178.7819199562073,7.271376609802246
no,83,82.84299999999999,5.748875,363.55999999999875,1,269.1979166666667,276.6617632519169,318.20625,166.24866027812325,1178.7819199562073,6.784672498703003
no,83,82.84299999999999,5.748875,369.18999999999915,1,265.5833333333333,274.3005588715091,311.2572916666667,166.7453052467493,1178.7819199562073,7.291595220565796
no,83,82.93710526315789,6.3986842105263255,372.1966666666665,2.0,262.9375,271.0063053732945,310.34270833333335,159.99631033818122,1178.7819199562073,8.180519104003906
no,83,82.84299999999999,5.748875,350.51999999999833,1,264.08125,271.40611494911246,312.16041666666666,163.08534414479553,1178.7819199562073,8.634145021438599
no,83,82.93710526315789,6.3986842105263255,511.26,2.0,275.33229166666666,284.3675363470338,322.684375,172.8620923887769,1178.7819199562073,6.802448987960815
no,83,82.93710526315789,6.3986842105263255,396.73999999999984,2.0,272.58020833333336,280.9469636410461,321.73125,165.86233832138478,1178.7819199562073,6.724647998809815
no,83,82.93710526315789,6.3986842105263255,425.95999999999987,2.0,273.778125,281.3682189332176,323.6166666666666,169.0708718917077,1178.7819199562073,7.336137771606445
no,83,82.84299999999999,5.748875,382.83999999999946,1,267.4791666666667,276.2596306453506,313.48229166666664,167.93730228545098,1178.7819199562073,7.343424320220947
no,83,82.93710526315789,6.3986842105263255,372.19666666666666,2.0,264.81458333333336,272.93997736802817,312.5572916666667,161.1360758701527,1178.7819199562073,7.791029453277588
no,83,82.84299999999999,5.748875,354.75999999999846,1,265.96875,273.34187968568625,314.38958333333335,164.25286367313782,1178.7819199562073,8.263103485107424
no,83,82.84299999999999,5.748875,461.59999999999945,1,276.13958333333335,285.20777969723474,323.63125,173.37781439226154,1178.7819199562073,7.569662809371947
no,83,82.93710526315789,6.3986842105263255,396.73999999999984,2.0,273.38645833333334,281.78005925861737,322.67291666666665,166.35985435643136,1178.7819199562073,6.734446287155151
no,83,82.84299999999999,5.748875,389.98,1.0000000000000442,274.57708333333335,282.19602874862187,324.5729166666667,169.57505742244757,1178.7819199562073,6.659783363342285
no,83,no_sol,no_sol,no_sol,no_sol,249.06770833333331,257.24515969482286,291.90416666666664,156.3760224564673,1178.7819199562073,4.522729158401488
no,83,no_sol,no_sol,no_sol,no_sol,246.58541666666667,254.15219725719413,291.04375,150.04309506806425,1178.7819199562073,4.486374855041504
no,83,no_sol,no_sol,no_sol,no_sol,247.6604166666667,254.5271070531121,292.75,152.9459034266691,1178.7819199562073,4.706335544586182
no,83,82.84299999999999,5.748875,386.7299999999997,1,268.021875,276.81694997293374,314.1177083333333,168.2783990363833,1178.7819199562073,7.3384833335876465
no,83,82.93710526315789,6.3986842105263255,377.73,2.0,265.3489583333333,273.4901426448766,313.184375,161.46353582680118,1178.7819199562073,7.40273118019104
no,83,82.84299999999999,5.748875,354.7599999999978,1,266.50625,273.89533615830493,315.028125,164.5875588295919,1178.7819199562073,7.2189486026763925
no,87,86.9315,48.68774999999999,320.63999999999993,71.00000000000001,265.31458333333336,274.0186280845271,310.93958333333336,166.5787792101975,1178.7819199562073,7.531728744506836
no,87,84.60162790697674,15.475232558139535,290.43,17.0,262.66770833333334,270.722787757911,310.02500029479165,159.83073876147768,1178.7819199562073,7.580320596694946
no,87,85.12773333333334,19.063200000000037,295.16,23.00000000000001,263.81875,271.12750010853597,311.83958333333334,162.92226832601204,1178.7819199562073,7.939042568206787
no,87,86.35628205128204,24.034102564102568,348.41,31.0,273.4322916666667,282.4094580181082,320.453125,171.67819396155423,1178.7819199562073,6.778553009033202
no,87,86.17620253164557,23.265063291139235,322.12999999999994,30.0,270.70520833333336,279.0127044485727,319.5135416666667,164.72705683682707,1178.7819199562073,7.09526252746582
no,87,84.905,17.857435897435902,314.1,20.999999999999996,271.88958333333335,279.4281923556743,321.3843750000001,167.9097663975884,1178.7819199562073,7.100684642791747
no,87,no_sol,no_sol,no_sol,no_sol,295.090625,304.77359222261384,345.84166666666664,185.27619791513663,1178.7819199562073,4.744180679321289
no,87,no_sol,no_sol,no_sol,no_sol,292.15208333333334,301.1131694712024,344.81875,177.77185244981138,1178.7819199562073,4.687138080596924
no,87,no_sol,no_sol,no_sol,no_sol,293.4239583333333,301.55676246520864,346.8447916666667,181.2081054281879,1178.7819199562073,4.309184789657594
no,87,86.08627906976744,22.66686046511629,356.6034,29.0,270.7270833333334,279.61320288002565,317.28541666666666,169.9782939446281,1178.7819199562073,6.95427680015564
no,87,86.17620253164557,23.265063291139235,314.03,30.0,268.02708333333334,276.25142249979405,316.3489583333333,163.09529358807873,1178.7819199562073,7.50452995300293
no,87,85.12773333333334,19.063200000000005,291.72,23.0,269.1979166666667,276.6617632519169,318.20625,166.24866027812325,1178.7819199562073,7.250863313674928
no,87,84.37950617283951,14.257037037037039,310.64857142857136,15.0,265.5833333333333,274.3005588715091,311.2572916666667,166.7453052467493,1178.7819199562073,7.8730125427246085
no,87,85.01379746835444,18.462658227848102,290.42999999999995,22.0,262.9375,271.0063053732945,310.34270833333335,159.99631033818122,1178.7819199562073,8.696096181869509
no,87,85.12773333333334,19.063200000000037,295.16,23.00000000000001,264.08125,271.40611494911246,312.16041666666666,163.08534414479553,1178.7819199562073,8.933292627334597
no,87,83.16175675675676,7.583378378378383,425.22999999999985,3.9999999999999862,275.33229166666666,284.3675363470338,322.684375,172.8620923887769,1178.7819199562073,6.19879961013794
no,87,83.50958904109591,9.451095890410958,325.33,7.000000000000001,272.58020833333336,280.9469636410461,321.73125,165.86233832138478,1178.7819199562073,8.319341897964478
no,87,84.80635135135135,17.271351351351353,310.30999999999995,20.0,273.778125,281.3682189332176,323.6166666666666,169.0708718917077,1178.7819199562073,7.4026238918304434
no,87,86.17620253164557,23.265063291139235,332.75999999999993,30.0,267.4791666666667,276.2596306453506,313.48229166666664,167.93730228545098,1178.7819199562073,6.608642101287843
no,87,85.01379746835444,18.462658227848102,311.32999999999987,22.0,264.81458333333336,272.93997736802817,312.5572916666667,161.1360758701527,1178.7819199562073,7.756656408309936
no,87,84.905,17.857435897435902,307.71,21.0,265.96875,273.34187968568625,314.38958333333335,164.25286367313782,1178.7819199562073,7.391654968261719
no,87,86.35628205128204,24.034102564102568,377.47,31.00000000000001,276.13958333333335,285.20777969723474,323.63125,173.37781439226154,1178.7819199562073,6.5201988220214835
no,87,85.44825,20.871625000000012,336.23,26.0,273.38645833333334,281.78005925861737,322.67291666666665,166.35985435643136,1178.7819199562073,6.625147581100464
no,87,84.37950617283951,14.257037037037039,315.53,15.0,274.57708333333335,282.19602874862187,324.5729166666667,169.57505742244757,1178.7819199562073,6.448101282119751
no,87,no_sol,no_sol,no_sol,no_sol,249.06770833333331,257.24515969482286,291.90416666666664,156.3760224564673,1178.7819199562073,4.1835312843322745
no,87,no_sol,no_sol,no_sol,no_sol,246.58541666666667,254.15219725719413,291.04375,150.04309506806425,1178.7819199562073,5.07402491569519
no,87,no_sol,no_sol,no_sol,no_sol,247.6604166666667,254.5271070531121,292.75,152.9459034266691,1178.7819199562073,4.5477168560028085
no,87,85.01379746835444,18.462658227848102,335.86,22.0,268.021875,276.81694997293374,314.1177083333333,168.2783990363833,1178.7819199562073,6.966361284255981
no,87,84.37950617283951,14.257037037037039,310.64857142857136,15.0,265.3489583333333,273.4901426448766,313.184375,161.46353582680118,1178.7819199562073,6.7784178256988525
no,87,84.26976744186047,13.677093023255846,307.71,14.000000000000002,266.50625,273.89533615830493,315.028125,164.5875588295919,1178.7819199562073,6.877230882644652
5,no,no_sol,no_sol,no_sol,no_sol,265.31458333333336,274.0186280845271,310.93958333333336,166.5787792101975,1178.7819199562073,5.736662864685059
5,no,no_sol,no_sol,no_sol,no_sol,262.66770833333334,270.722787757911,310.02500029479165,159.83073876147768,1178.7819199562073,6.059460878372192
5,no,no_sol,no_sol,no_sol,no_sol,263.81875,271.12750010853597,311.83958333333334,162.92226832601204,1178.7819199562073,6.915411710739137
5,no,no_sol,no_sol,no_sol,no_sol,273.4322916666667,282.4094580181082,320.453125,171.67819396155423,1178.7819199562073,5.781416416168213
5,no,no_sol,no_sol,no_sol,no_sol,270.70520833333336,279.0127044485727,319.5135416666667,164.72705683682707,1178.7819199562073,5.765625476837157
5,no,no_sol,no_sol,no_sol,no_sol,271.88958333333335,279.4281923556743,321.3843750000001,167.9097663975884,1178.7819199562073,6.227839469909668
5,no,no_sol,no_sol,no_sol,no_sol,295.090625,304.77359222261384,345.84166666666664,185.27619791513663,1178.7819199562073,4.83350133895874
5,no,no_sol,no_sol,no_sol,no_sol,292.15208333333334,301.1131694712024,344.81875,177.77185244981138,1178.7819199562073,4.624422788619995
5,no,no_sol,no_sol,no_sol,no_sol,293.4239583333333,301.55676246520864,346.8447916666667,181.2081054281879,1178.7819199562073,4.472309350967407
5,no,no_sol,no_sol,no_sol,no_sol,270.7270833333334,279.61320288002565,317.28541666666666,169.9782939446281,1178.7819199562073,5.1691834926605225
5,no,no_sol,no_sol,no_sol,no_sol,268.02708333333334,276.25142249979405,316.3489583333333,163.09529358807873,1178.7819199562073,5.695723295211793
5,no,no_sol,no_sol,no_sol,no_sol,269.1979166666667,276.6617632519169,318.20625,166.24866027812325,1178.7819199562073,5.508958101272583
5,no,no_sol,no_sol,no_sol,no_sol,265.5833333333333,274.3005588715091,311.2572916666667,166.7453052467493,1178.7819199562073,5.802113056182861
5,no,no_sol,no_sol,no_sol,no_sol,262.9375,271.0063053732945,310.34270833333335,159.99631033818122,1178.7819199562073,5.863100528717041
5,no,no_sol,no_sol,no_sol,no_sol,264.08125,271.40611494911246,312.16041666666666,163.08534414479553,1178.7819199562073,6.679161787033081
5,no,no_sol,no_sol,no_sol,no_sol,275.33229166666666,284.3675363470338,322.684375,172.8620923887769,1178.7819199562073,6.196118593215942
5,no,no_sol,no_sol,no_sol,no_sol,272.58020833333336,280.9469636410461,321.73125,165.86233832138478,1178.7819199562073,6.540837049484253
5,no,no_sol,no_sol,no_sol,no_sol,273.778125,281.3682189332176,323.6166666666666,169.0708718917077,1178.7819199562073,6.367762088775635
5,no,no_sol,no_sol,no_sol,no_sol,267.4791666666667,276.2596306453506,313.48229166666664,167.93730228545098,1178.7819199562073,6.434852838516235
5,no,no_sol,no_sol,no_sol,no_sol,264.81458333333336,272.93997736802817,312.5572916666667,161.1360758701527,1178.7819199562073,7.232077598571777
5,no,no_sol,no_sol,no_sol,no_sol,265.96875,273.34187968568625,314.38958333333335,164.25286367313782,1178.7819199562073,7.567777395248412
5,no,no_sol,no_sol,no_sol,no_sol,276.13958333333335,285.20777969723474,323.63125,173.37781439226154,1178.7819199562073,5.152695894241333
5,no,no_sol,no_sol,no_sol,no_sol,273.38645833333334,281.78005925861737,322.67291666666665,166.35985435643136,1178.7819199562073,5.722584962844849
5,no,no_sol,no_sol,no_sol,no_sol,274.57708333333335,282.19602874862187,324.5729166666667,169.57505742244757,1178.7819199562073,5.276826620101929
5,no,no_sol,no_sol,no_sol,no_sol,249.06770833333331,257.24515969482286,291.90416666666664,156.3760224564673,1178.7819199562073,4.5968639850616455
5,no,no_sol,no_sol,no_sol,no_sol,246.58541666666667,254.15219725719413,291.04375,150.04309506806425,1178.7819199562073,4.562901973724365
5,no,no_sol,no_sol,no_sol,no_sol,247.6604166666667,254.5271070531121,292.75,152.9459034266691,1178.7819199562073,4.444523811340332
5,no,no_sol,no_sol,no_sol,no_sol,268.021875,276.81694997293374,314.1177083333333,168.2783990363833,1178.7819199562073,5.4770283699035645
5,no,no_sol,no_sol,no_sol,no_sol,265.3489583333333,273.4901426448766,313.184375,161.46353582680118,1178.7819199562073,5.796178340911865
