time_less_than,y_memAvg(MB),y_time(sec),y_sol(keuro),y_nTraces,y_PV_mean,y_PV_std,y_Load_mean,y_Load_std,n_cores,y_par_time
no,88.9446753246753,65.04909090909092,296.56377049180327,100.0,265.31458333333336,274.0186280845271,310.93958333333336,166.5787792101975,1.0,65.04909090909092
no,86.35628205128205,24.03410256410256,300.76439189189176,31.0,262.66770833333334,270.722787757911,310.025,159.83073859555302,1.0,24.03410256410256
no,86.35628205128205,24.03410256410256,300.76439189189176,31.0,263.81875,271.127500108536,311.83958333333334,162.92226832601202,1.0,24.03410256410256
no,88.9446753246753,65.04909090909092,340.25915789473663,100.0,273.4322916666667,282.4094580181082,320.453125,171.67819396155426,1.0,65.04909090909092
no,88.9446753246753,65.04909090909092,295.81181818181824,100.0,270.70520833333336,279.0127044485727,319.5135416666667,164.7270568368271,1.0,65.04909090909092
no,88.3555681818182,59.470681818181816,300.27,90.0,271.8895833333333,279.4281923556743,321.38437500000003,167.9097663975884,1.0,59.470681818181816
no,no_sol,no_sol,no_sol,no_sol,295.090625,304.7735922226138,345.84166666666664,185.27619791513663,no_sol,no_sol
no,88.25693333333334,58.26026666666666,482.25,88.0,292.15208333333334,301.1131694712024,344.81875,177.77185244981138,1.0,58.26026666666666
no,88.25693333333334,58.26026666666666,482.25,88.0,293.4239583333333,301.55676246520864,346.8447916666667,181.2081054281879,1.0,58.26026666666666
no,88.9446753246753,65.04909090909092,324.2010416666668,100.0,270.7270833333334,279.61320288002565,317.28541666666666,169.9782939446281,1.0,65.04909090909092
no,88.9446753246753,65.04909090909092,295.81181818181824,100.0,268.02708333333334,276.25142249979405,316.3489583333333,163.09529358807873,1.0,65.04909090909092
no,88.9446753246753,65.04909090909092,291.2505263157897,100.0,269.1979166666667,276.6617632519169,318.20625,166.24866027812325,1.0,65.04909090909092
no,88.9446753246753,65.04909090909092,296.56377049180327,100.0,265.5833333333333,274.3005588715091,311.2572916666667,166.7453052467493,1.0,65.04909090909092
no,86.35628205128205,24.03410256410256,300.76439189189176,31.0,262.9375,271.0063053732945,310.3427083333333,159.99631033818122,1.0,24.03410256410256
no,86.35628205128205,24.03410256410256,300.76439189189176,31.0,264.08125,271.40611494911246,312.16041666666666,163.08534414479553,1.0,24.03410256410256
no,88.59987951807227,61.48795180722892,354.58,94.0,275.33229166666666,284.3675363470338,322.684375,172.8620923887769,1.0,61.48795180722892
no,88.3555681818182,59.470681818181816,311.16,90.0,272.58020833333336,280.94696364104607,321.73125,165.86233832138478,1.0,59.470681818181816
no,88.65902439024387,61.81853658536582,346.77,95.0,273.778125,281.3682189332176,323.6166666666666,169.07087189170767,1.0,61.81853658536582
no,88.3555681818182,59.470681818181816,306.65666666666664,90.0,267.4791666666667,276.2596306453506,313.48229166666664,167.93730228545095,1.0,59.470681818181816
no,86.35628205128205,24.03410256410256,300.76439189189176,31.0,264.81458333333336,272.93997736802817,312.5572916666667,161.13607587015267,1.0,24.03410256410256
no,88.9446753246753,65.04909090909092,300.105,100.0,265.96875,273.34187968568625,314.3895833333333,164.2528636731378,1.0,65.04909090909092
no,88.3555681818182,59.470681818181816,370.25714285714287,90.0,276.1395833333333,285.20777969723474,323.63125,173.37781439226154,1.0,59.470681818181816
no,88.3555681818182,59.470681818181816,311.16,90.0,273.38645833333334,281.78005925861737,322.67291666666665,166.35985435643136,1.0,59.470681818181816
no,88.3555681818182,59.470681818181816,316.03,90.0,274.5770833333333,282.1960287486219,324.5729166666667,169.57505742244757,1.0,59.470681818181816
no,no_sol,no_sol,no_sol,no_sol,249.06770833333331,257.24515969482286,291.90416666666664,156.37602245646727,no_sol,no_sol
no,no_sol,no_sol,no_sol,no_sol,246.58541666666667,254.15219725719413,291.04375,150.04309506806425,no_sol,no_sol
no,no_sol,no_sol,no_sol,no_sol,247.6604166666667,254.5271070531121,292.75,152.9459034266691,no_sol,no_sol
no,88.3555681818182,59.470681818181816,312.67,90.0,268.021875,276.81694997293374,314.1177083333333,168.27839903638332,1.0,59.470681818181816
no,88.9446753246753,65.04909090909092,318.55611111111114,100.0,265.3489583333333,273.4901426448766,313.184375,161.46353582680118,1.0,65.04909090909092
no,88.9446753246753,65.04909090909092,318.55611111111114,100.0,266.50625,273.8953361583049,315.028125,164.58755882959193,1.0,65.04909090909092
1,no_sol,no_sol,no_sol,no_sol,265.31458333333336,274.0186280845271,310.93958333333336,166.5787792101975,no_sol,no_sol
1,no_sol,no_sol,no_sol,no_sol,262.66770833333334,270.722787757911,310.025,159.83073859555302,no_sol,no_sol
1,no_sol,no_sol,no_sol,no_sol,263.81875,271.127500108536,311.83958333333334,162.92226832601202,no_sol,no_sol
1,no_sol,no_sol,no_sol,no_sol,273.4322916666667,282.4094580181082,320.453125,171.67819396155426,no_sol,no_sol
1,no_sol,no_sol,no_sol,no_sol,270.70520833333336,279.0127044485727,319.5135416666667,164.7270568368271,no_sol,no_sol
1,no_sol,no_sol,no_sol,no_sol,271.8895833333333,279.4281923556743,321.38437500000003,167.9097663975884,no_sol,no_sol
1,no_sol,no_sol,no_sol,no_sol,295.090625,304.7735922226138,345.84166666666664,185.27619791513663,no_sol,no_sol
1,no_sol,no_sol,no_sol,no_sol,292.15208333333334,301.1131694712024,344.81875,177.77185244981138,no_sol,no_sol
1,no_sol,no_sol,no_sol,no_sol,293.4239583333333,301.55676246520864,346.8447916666667,181.2081054281879,no_sol,no_sol
1,no_sol,no_sol,no_sol,no_sol,270.7270833333334,279.61320288002565,317.28541666666666,169.9782939446281,no_sol,no_sol
1,no_sol,no_sol,no_sol,no_sol,268.02708333333334,276.25142249979405,316.3489583333333,163.09529358807873,no_sol,no_sol
1,no_sol,no_sol,no_sol,no_sol,269.1979166666667,276.6617632519169,318.20625,166.24866027812325,no_sol,no_sol
1,no_sol,no_sol,no_sol,no_sol,265.5833333333333,274.3005588715091,311.2572916666667,166.7453052467493,no_sol,no_sol
1,no_sol,no_sol,no_sol,no_sol,262.9375,271.0063053732945,310.3427083333333,159.99631033818122,no_sol,no_sol
1,no_sol,no_sol,no_sol,no_sol,264.08125,271.40611494911246,312.16041666666666,163.08534414479553,no_sol,no_sol
1,no_sol,no_sol,no_sol,no_sol,275.33229166666666,284.3675363470338,322.684375,172.8620923887769,no_sol,no_sol
1,no_sol,no_sol,no_sol,no_sol,272.58020833333336,280.94696364104607,321.73125,165.86233832138478,no_sol,no_sol
1,no_sol,no_sol,no_sol,no_sol,273.778125,281.3682189332176,323.6166666666666,169.07087189170767,no_sol,no_sol
1,no_sol,no_sol,no_sol,no_sol,267.4791666666667,276.2596306453506,313.48229166666664,167.93730228545095,no_sol,no_sol
1,no_sol,no_sol,no_sol,no_sol,264.81458333333336,272.93997736802817,312.5572916666667,161.13607587015267,no_sol,no_sol
1,no_sol,no_sol,no_sol,no_sol,265.96875,273.34187968568625,314.3895833333333,164.2528636731378,no_sol,no_sol
1,no_sol,no_sol,no_sol,no_sol,276.1395833333333,285.20777969723474,323.63125,173.37781439226154,no_sol,no_sol
1,no_sol,no_sol,no_sol,no_sol,273.38645833333334,281.78005925861737,322.67291666666665,166.35985435643136,no_sol,no_sol
1,no_sol,no_sol,no_sol,no_sol,274.5770833333333,282.1960287486219,324.5729166666667,169.57505742244757,no_sol,no_sol
1,no_sol,no_sol,no_sol,no_sol,249.06770833333331,257.24515969482286,291.90416666666664,156.37602245646727,no_sol,no_sol
1,no_sol,no_sol,no_sol,no_sol,246.58541666666667,254.15219725719413,291.04375,150.04309506806425,no_sol,no_sol
1,no_sol,no_sol,no_sol,no_sol,247.6604166666667,254.5271070531121,292.75,152.9459034266691,no_sol,no_sol
1,no_sol,no_sol,no_sol,no_sol,268.021875,276.81694997293374,314.1177083333333,168.27839903638332,no_sol,no_sol
1,no_sol,no_sol,no_sol,no_sol,265.3489583333333,273.4901426448766,313.184375,161.46353582680118,no_sol,no_sol
1,no_sol,no_sol,no_sol,no_sol,266.50625,273.8953361583049,315.028125,164.58755882959193,no_sol,no_sol
2,83.16175675675676,7.583378378378379,334.5249999999999,4.0,265.31458333333336,274.0186280845271,310.93958333333336,166.5787792101975,32.0,1.9544789634995825
2,83.16175675675676,7.583378378378379,347.0135185185188,4.0,262.66770833333334,270.722787757911,310.025,159.83073859555302,32.0,1.9544789634995825
2,82.84300000000007,5.748874999999984,350.96909090909094,1.0,263.81875,271.127500108536,311.83958333333334,162.92226832601202,16.0,1.854475806451608
2,83.16175675675676,7.583378378378379,397.8013043478261,4.0,273.4322916666667,282.4094580181082,320.453125,171.67819396155426,32.0,1.9544789634995825
2,83.16175675675676,7.583378378378379,331.6748484848485,4.0,270.70520833333336,279.0127044485727,319.5135416666667,164.7270568368271,32.0,1.9544789634995825
2,83.16175675675676,7.583378378378379,348.9169411764707,4.0,271.8895833333333,279.4281923556743,321.38437500000003,167.9097663975884,32.0,1.9544789634995825
2,no_sol,no_sol,no_sol,no_sol,295.090625,304.7735922226138,345.84166666666664,185.27619791513663,no_sol,no_sol
2,82.84300000000007,5.748874999999984,595.0,1.0,292.15208333333334,301.1131694712024,344.81875,177.77185244981138,16.0,1.854475806451608
2,82.84300000000007,5.748874999999984,595.0,1.0,293.4239583333333,301.55676246520864,346.8447916666667,181.2081054281879,16.0,1.854475806451608
2,82.84300000000007,5.748874999999984,373.5427118644069,1.0,270.7270833333334,279.61320288002565,317.28541666666666,169.9782939446281,16.0,1.854475806451608
2,83.16175675675676,7.583378378378379,331.6748484848485,4.0,268.02708333333334,276.25142249979405,316.3489583333333,163.09529358807873,32.0,1.9544789634995825
2,83.16175675675676,7.583378378378379,331.6748484848485,4.0,269.1979166666667,276.6617632519169,318.20625,166.24866027812325,32.0,1.9544789634995825
2,83.16175675675676,7.583378378378379,334.5249999999999,4.0,265.5833333333333,274.3005588715091,311.2572916666667,166.7453052467493,32.0,1.9544789634995825
2,83.16175675675676,7.583378378378379,347.0135185185188,4.0,262.9375,271.0063053732945,310.3427083333333,159.99631033818122,32.0,1.9544789634995825
2,82.84300000000007,5.748874999999984,350.96909090909094,1.0,264.08125,271.40611494911246,312.16041666666666,163.08534414479553,16.0,1.854475806451608
2,83.16175675675676,7.583378378378379,425.23,4.0,275.33229166666666,284.3675363470338,322.684375,172.8620923887769,32.0,1.9544789634995825
2,83.16175675675676,7.583378378378379,331.6748484848485,4.0,272.58020833333336,280.94696364104607,321.73125,165.86233832138478,32.0,1.9544789634995825
2,83.16175675675676,7.583378378378379,415.79875,4.0,273.778125,281.3682189332176,323.6166666666666,169.07087189170767,32.0,1.9544789634995825
2,83.16175675675676,7.583378378378379,348.9169411764707,4.0,267.4791666666667,276.2596306453506,313.48229166666664,167.93730228545095,32.0,1.9544789634995825
2,82.84300000000007,5.748874999999984,379.981,1.0,264.81458333333336,272.93997736802817,312.5572916666667,161.13607587015267,16.0,1.854475806451608
2,82.84300000000007,5.748874999999984,350.96909090909094,1.0,265.96875,273.34187968568625,314.3895833333333,164.2528636731378,16.0,1.854475806451608
2,83.16175675675676,7.583378378378379,419.37,4.0,276.1395833333333,285.20777969723474,323.63125,173.37781439226154,32.0,1.9544789634995825
2,83.16175675675676,7.583378378378379,348.9169411764707,4.0,273.38645833333334,281.78005925861737,322.67291666666665,166.35985435643136,32.0,1.9544789634995825
2,82.84300000000007,5.748874999999984,363.21240000000006,1.0,274.5770833333333,282.1960287486219,324.5729166666667,169.57505742244757,16.0,1.854475806451608
2,no_sol,no_sol,no_sol,no_sol,249.06770833333331,257.24515969482286,291.90416666666664,156.37602245646727,no_sol,no_sol
2,no_sol,no_sol,no_sol,no_sol,246.58541666666667,254.15219725719413,291.04375,150.04309506806425,no_sol,no_sol
2,no_sol,no_sol,no_sol,no_sol,247.6604166666667,254.5271070531121,292.75,152.9459034266691,no_sol,no_sol
2,83.16175675675676,7.583378378378379,348.9169411764707,4.0,268.021875,276.81694997293374,314.1177083333333,168.27839903638332,32.0,1.9544789634995825
2,82.84300000000007,5.748874999999984,350.96909090909094,1.0,265.3489583333333,273.4901426448766,313.184375,161.46353582680118,16.0,1.854475806451608
2,82.84300000000007,5.748874999999984,350.96909090909094,1.0,266.50625,273.8953361583049,315.028125,164.58755882959193,16.0,1.854475806451608
3,83.16175675675676,7.583378378378379,334.5249999999999,4.0,265.31458333333336,274.0186280845271,310.93958333333336,166.5787792101975,12.0,2.6987111666826973
3,83.27843373493981,8.205421686746991,347.0135185185188,5.0,262.66770833333334,270.722787757911,310.025,159.83073859555302,12.0,2.92007889208078
3,82.84300000000007,5.748874999999984,350.96909090909094,1.0,263.81875,271.127500108536,311.83958333333334,162.92226832601202,8.0,2.346479591836728
3,83.06407894736847,7.121710526315791,397.8013043478261,3.0,273.4322916666667,282.4094580181082,320.453125,171.67819396155426,8.0,2.9068206229860367
3,83.27843373493981,8.205421686746991,331.6748484848485,5.0,270.70520833333336,279.0127044485727,319.5135416666667,164.7270568368271,12.0,2.92007889208078
3,83.27843373493981,8.205421686746991,348.9169411764707,5.0,271.8895833333333,279.4281923556743,321.38437500000003,167.9097663975884,12.0,2.92007889208078
3,no_sol,no_sol,no_sol,no_sol,295.090625,304.7735922226138,345.84166666666664,185.27619791513663,no_sol,no_sol
3,83.60563218390806,10.018850574712644,556.17,8.0,292.15208333333334,301.1131694712024,344.81875,177.77185244981138,32.0,2.582177983173362
3,83.60563218390806,10.018850574712644,556.17,8.0,293.4239583333333,301.55676246520864,346.8447916666667,181.2081054281879,32.0,2.582177983173362
3,82.84300000000007,5.748874999999984,373.5427118644069,1.0,270.7270833333334,279.61320288002565,317.28541666666666,169.9782939446281,8.0,2.346479591836728
3,83.27843373493981,8.205421686746991,331.6748484848485,5.0,268.02708333333334,276.25142249979405,316.3489583333333,163.09529358807873,12.0,2.92007889208078
3,83.27843373493981,8.205421686746991,331.6748484848485,5.0,269.1979166666667,276.6617632519169,318.20625,166.24866027812325,12.0,2.92007889208078
3,83.16175675675676,7.583378378378379,334.5249999999999,4.0,265.5833333333333,274.3005588715091,311.2572916666667,166.7453052467493,12.0,2.6987111666826973
3,83.16175675675676,7.583378378378379,347.0135185185188,4.0,262.9375,271.0063053732945,310.3427083333333,159.99631033818122,12.0,2.6987111666826973
3,82.84300000000007,5.748874999999984,350.96909090909094,1.0,264.08125,271.40611494911246,312.16041666666666,163.08534414479553,8.0,2.346479591836728
3,83.16175675675676,7.583378378378379,425.23,4.0,275.33229166666666,284.3675363470338,322.684375,172.8620923887769,12.0,2.6987111666826973
3,83.16175675675676,7.583378378378379,331.6748484848485,4.0,272.58020833333336,280.94696364104607,321.73125,165.86233832138478,12.0,2.6987111666826973
3,82.93710526315787,6.398684210526315,415.79875,2.0,273.778125,281.3682189332176,323.6166666666666,169.07087189170767,8.0,2.6117078410311487
3,83.27843373493981,8.205421686746991,348.9169411764707,5.0,267.4791666666667,276.2596306453506,313.48229166666664,167.93730228545095,12.0,2.92007889208078
3,83.27843373493981,8.205421686746991,367.5633333333333,5.0,264.81458333333336,272.93997736802817,312.5572916666667,161.13607587015267,12.0,2.92007889208078
3,82.84300000000007,5.748874999999984,350.96909090909094,1.0,265.96875,273.34187968568625,314.3895833333333,164.2528636731378,8.0,2.346479591836728
3,83.38345679012345,8.837037037037033,410.0128571428571,6.0,276.1395833333333,285.20777969723474,323.63125,173.37781439226154,16.0,2.850657108721624
3,83.27843373493981,8.205421686746991,348.9169411764707,5.0,273.38645833333334,281.78005925861737,322.67291666666665,166.35985435643136,12.0,2.92007889208078
3,82.84300000000007,5.748874999999984,363.21240000000006,1.0,274.5770833333333,282.1960287486219,324.5729166666667,169.57505742244757,8.0,2.346479591836728
3,no_sol,no_sol,no_sol,no_sol,249.06770833333331,257.24515969482286,291.90416666666664,156.37602245646727,no_sol,no_sol
3,no_sol,no_sol,no_sol,no_sol,246.58541666666667,254.15219725719413,291.04375,150.04309506806425,no_sol,no_sol
3,no_sol,no_sol,no_sol,no_sol,247.6604166666667,254.5271070531121,292.75,152.9459034266691,no_sol,no_sol
3,83.27843373493981,8.205421686746991,348.9169411764707,5.0,268.021875,276.81694997293374,314.1177083333333,168.27839903638332,12.0,2.92007889208078
3,82.84300000000007,5.748874999999984,350.96909090909094,1.0,265.3489583333333,273.4901426448766,313.184375,161.46353582680118,8.0,2.346479591836728
3,82.84300000000007,5.748874999999984,350.96909090909094,1.0,266.50625,273.8953361583049,315.028125,164.58755882959193,8.0,2.346479591836728
5,83.82810126582281,11.249113924050633,326.2225,10.0,265.31458333333336,274.0186280845271,310.93958333333336,166.5787792101975,8.0,4.591475071041073
5,84.26976744186044,13.67709302325581,300.76439189189176,14.0,262.66770833333334,270.722787757911,310.025,159.83073859555302,12.0,4.867292890838368
5,84.26976744186044,13.67709302325581,300.76439189189176,14.0,263.81875,271.127500108536,311.83958333333334,162.92226832601202,12.0,4.867292890838368
5,83.71837499999997,10.650250000000002,376.7827586206896,9.0,273.4322916666667,282.4094580181082,320.453125,171.67819396155426,8.0,4.347040816326531
5,83.95182926829261,11.849756097560972,321.5022580645161,11.0,270.70520833333336,279.0127044485727,319.5135416666667,164.7270568368271,8.0,4.8366351418616205
5,83.95182926829261,11.849756097560972,321.5022580645161,11.0,271.8895833333333,279.4281923556743,321.38437500000003,167.9097663975884,8.0,4.8366351418616205
5,no_sol,no_sol,no_sol,no_sol,295.090625,304.7735922226138,345.84166666666664,185.27619791513663,no_sol,no_sol
5,84.17166666666668,13.078076923076924,545.5299999999999,13.0,292.15208333333334,301.1131694712024,344.81875,177.77185244981138,12.0,4.654119901450862
5,84.17166666666668,13.078076923076924,545.5299999999999,13.0,293.4239583333333,301.55676246520864,346.8447916666667,181.2081054281879,12.0,4.654119901450862
5,82.84300000000007,5.748874999999984,373.5427118644069,1.0,270.7270833333334,279.61320288002565,317.28541666666666,169.9782939446281,2.0,4.258425925925914
5,83.95182926829261,11.849756097560972,326.84643999999946,11.0,268.02708333333334,276.25142249979405,316.3489583333333,163.09529358807873,8.0,4.8366351418616205
5,83.95182926829261,11.849756097560972,315.80780487804867,11.0,269.1979166666667,276.6617632519169,318.20625,166.24866027812325,8.0,4.8366351418616205
5,83.82810126582281,11.249113924050633,326.2225,10.0,265.5833333333333,274.3005588715091,311.2572916666667,166.7453052467493,8.0,4.591475071041073
5,84.26976744186044,13.67709302325581,300.76439189189176,14.0,262.9375,271.0063053732945,310.3427083333333,159.99631033818122,12.0,4.867292890838368
5,84.26976744186044,13.67709302325581,300.76439189189176,14.0,264.08125,271.40611494911246,312.16041666666666,163.08534414479553,12.0,4.867292890838368
5,83.16175675675676,7.583378378378379,425.23,4.0,275.33229166666666,284.3675363470338,322.684375,172.8620923887769,4.0,4.411484537422037
5,83.95182926829261,11.849756097560972,321.5022580645161,11.0,272.58020833333336,280.94696364104607,321.73125,165.86233832138478,8.0,4.8366351418616205
5,83.60563218390806,10.018850574712644,400.4905797101447,8.0,273.778125,281.3682189332176,323.6166666666666,169.07087189170767,8.0,4.089326765188834
5,83.95182926829261,11.849756097560972,326.84643999999946,11.0,267.4791666666667,276.2596306453506,313.48229166666664,167.93730228545095,8.0,4.8366351418616205
5,84.17166666666668,13.078076923076924,300.76439189189176,13.0,264.81458333333336,272.93997736802817,312.5572916666667,161.13607587015267,12.0,4.654119901450862
5,83.95182926829261,11.849756097560972,326.84643999999946,11.0,265.96875,273.34187968568625,314.3895833333333,164.2528636731378,8.0,4.8366351418616205
5,83.95182926829261,11.849756097560972,404.5064516129033,11.0,276.1395833333333,285.20777969723474,323.63125,173.37781439226154,8.0,4.8366351418616205
5,83.16175675675676,7.583378378378379,348.9169411764707,4.0,273.38645833333334,281.78005925861737,322.67291666666665,166.35985435643136,4.0,4.411484537422037
5,83.95182926829261,11.849756097560972,332.34459459459475,11.0,274.5770833333333,282.1960287486219,324.5729166666667,169.57505742244757,8.0,4.8366351418616205
5,no_sol,no_sol,no_sol,no_sol,249.06770833333331,257.24515969482286,291.90416666666664,156.37602245646727,no_sol,no_sol
5,no_sol,no_sol,no_sol,no_sol,246.58541666666667,254.15219725719413,291.04375,150.04309506806425,no_sol,no_sol
5,no_sol,no_sol,no_sol,no_sol,247.6604166666667,254.5271070531121,292.75,152.9459034266691,no_sol,no_sol
5,83.95182926829261,11.849756097560972,326.84643999999946,11.0,268.021875,276.81694997293374,314.1177083333333,168.27839903638332,8.0,4.8366351418616205
5,83.95182926829261,11.849756097560972,326.84643999999946,11.0,265.3489583333333,273.4901426448766,313.184375,161.46353582680118,8.0,4.8366351418616205
5,83.95182926829261,11.849756097560972,326.84643999999946,11.0,266.50625,273.8953361583049,315.028125,164.58755882959193,8.0,4.8366351418616205
8,83.71837499999997,10.650250000000002,326.2225,9.0,265.31458333333336,274.0186280845271,310.93958333333336,166.5787792101975,2.0,7.889074074074075
8,84.17166666666668,13.078076923076924,300.76439189189176,13.0,262.66770833333334,270.722787757911,310.025,159.83073859555302,4.0,7.607919748520709
8,84.17166666666668,13.078076923076924,300.76439189189176,13.0,263.81875,271.127500108536,311.83958333333334,162.92226832601202,4.0,7.607919748520709
8,83.71837499999997,10.650250000000002,376.7827586206896,9.0,273.4322916666667,282.4094580181082,320.453125,171.67819396155426,2.0,7.889074074074075
